year,week,file
1976,0,1976.zip
1977,0,1977.zip
1978,0,1978.zip
1979,0,1979.zip
1980,0,1980.zip
1981,0,1981.zip
1982,0,1982.zip
1983,0,1983.zip
1984,0,1984.zip
1985,0,1985.zip
1986,0,1986.zip
1987,0,1987.zip
1988,0,1988.zip
1989,0,1989.zip
1990,0,1990.zip
1991,0,1991.zip
1992,0,1992.zip
1993,0,1993.zip
1994,0,1994.zip
1995,0,1995.zip
1996,0,1996.zip
1997,0,1997.zip
1998,0,1998.zip
1999,0,1999.zip
2000,0,2000.zip
2001,0,2001.zip
2002,1,pgb20020101_wk01.zip
2002,2,pgb20020108_wk02.zip
2002,3,pgb20020115_wk03.zip
2002,4,pgb20020122_wk04.zip
2002,5,pgb20020129_wk05.zip
2002,6,pgb20020205_wk06.zip
2002,7,pgb20020212_wk07.zip
2002,8,pgb20020219_wk08.zip
2002,9,pgb20020226_wk09.zip
2002,10,pgb20020305_wk10.zip
2002,11,pgb20020312_wk11.zip
2002,12,pgb20020319_wk12.zip
2002,13,pgb20020326_wk13.zip
2002,14,pgb20020402_wk14.zip
2002,15,pgb20020409_wk15.zip
2002,16,pgb20020416_wk16.zip
2002,17,pgb20020423_wk17.zip
2002,18,pgb20020430_wk18.zip
2002,19,pgb20020507_wk19.zip
2002,20,pgb20020514_wk20.zip
2002,21,pgb20020521_wk21.zip
2002,22,pgb20020528_wk22.zip
2002,23,pgb20020604_wk23.zip
2002,24,pgb20020611_wk24.zip
2002,25,pgb20020618_wk25.zip
2002,26,pgb20020625_wk26.zip
2002,27,pgb20020702_wk27.zip
2002,28,pgb20020709_wk28.zip
2002,29,pgb20020716_wk29.zip
2002,30,pgb20020723_wk30.zip
2002,31,pgb20020730_wk31.zip
2002,32,pgb20020806_wk32.zip
2002,33,pgb20020813_wk33.zip
2002,34,pgb20020820_wk34.zip
2002,35,pgb20020827_wk35.zip
2002,36,pgb20020903_wk36.zip
2002,37,pgb20020910_wk37.zip
2002,38,pgb20020917_wk38.zip
2002,39,pgb20020924_wk39.zip
2002,40,pgb20021001_wk40.zip
2002,41,pgb20021008_wk41.zip
2002,42,pgb20021015_wk42.zip
2002,43,pgb20021022_wk43.zip
2002,44,pgb20021029_wk44.zip
2002,45,pgb20021105_wk45.zip
2002,46,pgb20021112_wk46.zip
2002,47,pgb20021119_wk47.zip
2002,48,pgb20021126_wk48.zip
2002,49,pgb20021203_wk49.zip
2002,50,pgb20021210_wk50.zip
2002,51,pgb20021217_wk51.zip
2002,52,pgb20021224_wk52.zip
2002,53,pgb20021231_wk53.zip
2003,1,pgb20030107_wk01.zip
